id;start_date;end_date;language
1;2020-02-04T11:34:34;2020-02-04T09:24:49;SPANISH
2;2020-02-03T16:24:45;2020-02-04T11:29:10;SPANISH
3;2020-02-04T07:20:04;2020-02-03T17:54:13;FRENCH
4;2020-02-03T22:37:35;2020-02-04T10:09:01;FRENCH
5;2020-02-04T08:07:53;2020-02-04T12:54:52;FRENCH
6;2020-02-04T02:00:14;2020-02-04T14:08:28;FRENCH
7;2020-02-04T03:45:34;2020-02-03T21:36:25;FRENCH
8;2020-02-04T02:41:47;2020-02-04T12:57:55;SPANISH
9;2020-02-04T01:22:56;2020-02-03T22:04:19;SPANISH
10;2020-02-04T09:35:00;2020-02-03T20:09:30;SPANISH
